sim_id,true_scaipw_rd,true_scaipw_se,true_sctmle_rd,true_sctmle_se,main_scaipw_rd,main_scaipw_se,main_sctmle_rd,main_sctmle_se
147,-0.09391560600692875,0.02169896537877523,-0.10228524193439421,0.02076956506671961,-0.08458005836722539,0.03557542832525767,-0.12259794790879297,0.026905028359832793
148,-0.12131997975738074,0.021475091671902008,-0.1265896423474178,0.02154100025872824,-0.1735471908467669,0.03267320063607605,-0.15223459343452525,0.02948659085091016
149,-0.11832140910258859,0.02053903570559926,-0.1149238653389983,0.019871113382847756,-0.009572660862689389,0.054362042813739596,-0.12445277880945912,0.027700466253493126
150,-0.07745344785018334,0.03221178154486501,-0.04485460572358596,0.03353419718288027,-0.100428927864131,0.02974135303924463,-0.09911521645245837,0.028885595149991856
151,-0.09511090160918088,0.02268381619110685,-0.09509820847151255,0.022070096440586322,-0.18209096150327506,0.04325458990213822,-0.1318362869873339,0.03483088710946905
152,-0.1214571931386627,0.02289168719343632,-0.12188132356417805,0.022852983348635683,-0.11909321781509923,0.032432168867221306,-0.1351600809963328,0.03139434930577156
153,-0.10983291349620199,0.019212323192800907,-0.101764421464919,0.018183636640534143,-0.10066258652729429,0.02270394658979827,-0.11568842041536785,0.021168095576798825
154,-0.11029215748721473,0.02116729736103527,-0.10053177567410991,0.019519079491532733,-0.11411060938901324,0.020603307633746286,-0.1162922638215783,0.01955680909207111
155,-0.14020235162718425,0.029280412610547684,-0.13002884989585212,0.02713238552811252,-0.12926881140999735,0.028263976129128135,-0.1465562210220637,0.027607858666314336
156,-0.09173495501158427,0.020154316189610187,-0.08389032456593258,0.01967167434291145,-0.10578355886096778,0.03109823464665872,-0.10421151635857161,0.025401390667117878
157,-0.142979364319402,0.021696311516581423,-0.14183195419190595,0.021388807322307992,-0.12029333640442177,0.03511386753636334,-0.1435198958169919,0.03169966396181986
158,-0.13812812926488943,0.022207892130091368,-0.12411024887362684,0.019169150879537942,-0.10630793898717229,0.05262420875019843,-0.14404861548779874,0.04809228143540954
159,-0.09952457999563775,0.02215433522223804,-0.11113504012446074,0.021874014661622126,-0.150488320764392,0.040166054612601795,-0.11911287980000221,0.03432776009060938
160,-0.07416094401351567,0.043760873997599856,-0.08377029617837103,0.04145797242047397,-0.1328341815621507,0.04939443791601113,-0.09889946087457804,0.04541565252421445
161,-0.1262478228191806,0.019904023510102634,-0.11602290604642777,0.019032185456423923,-0.12902545136286422,0.03360991418343479,-0.13276552580103138,0.03475998544785231
162,-0.059479202884663435,0.025380841287233766,-0.06642944662683335,0.021997207266653853,-0.0782191933015967,0.02621032816583737,-0.09790142922583507,0.02583939596016858
163,-0.12583558237523343,0.03361716310973457,-0.10339928301974033,0.03044067073131119,-0.12726095120256256,0.043570278195762605,-0.11523590772254319,0.04287297087851888
164,-0.08903634510563542,0.023596143813624116,-0.09836959939212087,0.022861835917525292,-0.1516483061350179,0.03988074647578241,-0.11895247095042616,0.03769517919219112
165,-0.09693528585762282,0.025621089543500432,-0.09989465586441175,0.02498356315265142,-0.08655269111288726,0.02891696057265679,-0.10245086930630722,0.027796533994966593
166,-0.1225597257595404,0.02509448523051502,-0.11050322518950838,0.0243708903059097,-0.1562939082928926,0.02891394354022052,-0.13526868330815667,0.028946183149454782
167,-0.12007395600775715,0.021178750956390432,-0.11777804318293093,0.021080105809465344,-0.11977861175110127,0.024171804185045977,-0.14126037901589436,0.02351421031396062
168,-0.12273028787213565,0.02097951590137299,-0.11962002512329108,0.020122038647007137,-0.12637505618195694,0.026083660170796365,-0.14008826071357272,0.022432939094153958
169,-0.11709961862845017,0.020726557693741317,-0.10928741041918492,0.020641281335079982,-0.09531720515404142,0.03240398664243836,-0.13620998429339967,0.016297326605642478
170,-0.10306415518254008,0.020196597173626006,-0.09965022532139019,0.019630998860098753,-0.09873855805883604,0.0333604436515804,-0.12766581903990712,0.02486375547143055
171,-0.12058380322444562,0.02092486041272869,-0.10151014043647257,0.01973216817628654,-0.11637374671463992,0.025291505524799942,-0.10564109743234348,0.02380951882556007
