sim_id 693: ml_ate=-0.0790 ml_ey1=0.2457 ml_ey0=0.3247   [193 this run, 27.5s/dataset]
sim_id 694: ml_ate=-0.1100 ml_ey1=0.2191 ml_ey0=0.3292   [194 this run, 27.4s/dataset]
sim_id 695: ml_ate=-0.0699 ml_ey1=0.2531 ml_ey0=0.3230   [195 this run, 27.4s/dataset]
sim_id 696: ml_ate=-0.0616 ml_ey1=0.2433 ml_ey0=0.3049   [196 this run, 27.4s/dataset]
sim_id 697: ml_ate=-0.0671 ml_ey1=0.2491 ml_ey0=0.3162   [197 this run, 27.3s/dataset]
sim_id 698: ml_ate=-0.0691 ml_ey1=0.2539 ml_ey0=0.3230   [198 this run, 27.3s/dataset]
sim_id 699: ml_ate=-0.0985 ml_ey1=0.2386 ml_ey0=0.3370   [199 this run, 27.3s/dataset]
sim_id 700: ml_ate=-0.1158 ml_ey1=0.2194 ml_ey0=0.3352   [200 this run, 27.3s/dataset]
sim_id 701: ml_ate=-0.0784 ml_ey1=0.2515 ml_ey0=0.3299   [201 this run, 27.3s/dataset]
sim_id 702: ml_ate=-0.1060 ml_ey1=0.2363 ml_ey0=0.3422   [202 this run, 27.2s/dataset]
sim_id 703: ml_ate=-0.0875 ml_ey1=0.2388 ml_ey0=0.3262   [203 this run, 27.2s/dataset]
sim_id 704: ml_ate=-0.0869 ml_ey1=0.2362 ml_ey0=0.3231   [204 this run, 27.2s/dataset]
sim_id 705: ml_ate=-0.0931 ml_ey1=0.2329 ml_ey0=0.3260   [205 this run, 27.2s/dataset]
sim_id 706: ml_ate=-0.0950 ml_ey1=0.2276 ml_ey0=0.3226   [206 this run, 27.1s/dataset]
sim_id 707: ml_ate=-0.0745 ml_ey1=0.2395 ml_ey0=0.3140   [207 this run, 27.1s/dataset]
sim_id 708: ml_ate=-0.0744 ml_ey1=0.2698 ml_ey0=0.3442   [208 this run, 27.1s/dataset]
sim_id 709: ml_ate=-0.0756 ml_ey1=0.2409 ml_ey0=0.3165   [209 this run, 27.1s/dataset]
sim_id 710: ml_ate=-0.1132 ml_ey1=0.2181 ml_ey0=0.3313   [210 this run, 27.1s/dataset]
sim_id 711: ml_ate=-0.0678 ml_ey1=0.2461 ml_ey0=0.3139   [211 this run, 27.1s/dataset]
sim_id 712: ml_ate=-0.0946 ml_ey1=0.2206 ml_ey0=0.3152   [212 this run, 27.1s/dataset]
sim_id 713: ml_ate=-0.0591 ml_ey1=0.2666 ml_ey0=0.3257   [213 this run, 27.2s/dataset]
sim_id 714: ml_ate=-0.0763 ml_ey1=0.2461 ml_ey0=0.3223   [214 this run, 27.2s/dataset]
sim_id 715: ml_ate=-0.0827 ml_ey1=0.2494 ml_ey0=0.3321   [215 this run, 27.1s/dataset]
sim_id 716: ml_ate=-0.0931 ml_ey1=0.2408 ml_ey0=0.3338   [216 this run, 27.1s/dataset]
sim_id 717: ml_ate=-0.0802 ml_ey1=0.2453 ml_ey0=0.3255   [217 this run, 27.1s/dataset]
sim_id 718: ml_ate=-0.0950 ml_ey1=0.2380 ml_ey0=0.3330   [218 this run, 27.1s/dataset]
sim_id 719: ml_ate=-0.0908 ml_ey1=0.2432 ml_ey0=0.3341   [219 this run, 27.0s/dataset]
sim_id 720: ml_ate=-0.0543 ml_ey1=0.2606 ml_ey0=0.3148   [220 this run, 27.0s/dataset]
sim_id 721: ml_ate=-0.0968 ml_ey1=0.2331 ml_ey0=0.3299   [221 this run, 27.0s/dataset]
sim_id 722: ml_ate=-0.0797 ml_ey1=0.2460 ml_ey0=0.3257   [222 this run, 27.0s/dataset]
sim_id 723: ml_ate=-0.0758 ml_ey1=0.2588 ml_ey0=0.3346   [223 this run, 27.0s/dataset]
